"especie"	"rotacao"	"regiao"	"fazenda"	"projeto"	"estrato"	"talhao"	"idade"	"ano"	"pagina"	"arvore"	"dap"	"ht"	"vol"	"voltot"
"E.grandis"	1	"Bofete"	6	32	604	3	5.7	92	71405	2	14.01	23.05	169.620069	170.1165
"E.grandis"	1	"Bofete"	6	32	604	3	5.7	92	71405	3	14.32	22.97	182.373007	182.8694
"E.grandis"	1	"Bofete"	6	32	604	3	5.7	92	71602	1	18.14	24.91	291.280283	291.7767
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	70802	2	5.41	12.5	14.623187	16.61577
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71004	3	5.73	11.92	13.640968	15.74892
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71004	4	6.37	13.29	20.074589	22.30344
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71104	3	7.64	14.91	32.282947	34.13227
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71104	4	7.96	15.41	38.062602	39.58067
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71206	5	10.5	18.76	80.725418	81.18989
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71206	6	9.87	17.49	67.113412	68.14061
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71306	5	11.46	20	98.242794	98.62734
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71306	6	12.1	18.65	109.072504	109.5051
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71405	4	14.01	19.76	139.851983	140.2365
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71405	5	13.69	20.42	155.211924	155.4112
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71602	2	17.83	21.91	245.88152	246.5579
"E.grandis"	1	"Bofete"	6	32	604	8	5.7	92	71701	1	20.05	21.87	291.373039	291.7717
"E.grandis"	1	"Bofete"	6	32	605	18	5.4	92	72905	1	14.64	20.97	164.301263	164.7977
"E.grandis"	1	"Bofete"	6	32	605	18	5.4	92	72905	2	11.78	19.4	96.186221	97.06187
"E.grandis"	1	"Bofete"	6	32	605	18	5.4	92	72905	3	13.69	20.4	143.814376	144.0137
"E.grandis"	1	"Bofete"	6	32	605	18	5.4	92	72905	4	14.01	20.9	152.274001	152.8184
"E.grandis"	1	"Bofete"	6	32	605	18	5.4	92	72905	5	14.96	22.41	180.692676	180.892
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	105103	1	14.01	21.45	148.454488	149.4623
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	105103	2	14.96	21.55	174.441696	175.2455
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	105203	1	12.73	21.54	129.835431	130.8433
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	105203	2	12.1	22.2	127.106875	127.6472
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	105303	1	11.14	20.16	88.591955	89.23311
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	105303	2	9.87	20.18	67.443688	68.45078
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122202	1	4.77	10.19	7.75995	10.16751
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122303	1	7.32	16.46	32.300034	34.22074
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122404	1	8.28	15.44	40.872996	42.19905
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122404	2	9.23	19.18	67.851883	68.9907
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122504	1	10.82	20.09	90.157988	91.24903
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122603	1	11.78	19.57	102.778248	103.4659
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122703	1	13.37	21.17	141.956697	142.4171
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122804	1	15.28	21.53	176.216574	176.9042
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122804	2	15.92	23.71	221.077716	221.415
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	122902	1	19.74	25.96	348.21627	348.7607
"E.grandis"	1	"Bofete"	6	32	606	9	5.2	92	123104	1	17.83	25	279.455411	279.4554
"E.grandis"	1	"Bofete"	6	32	606	10	5.2	92	122202	2	4.77	11.23	5.777699	8.946541
"E.grandis"	1	"Bofete"	6	32	606	10	5.2	92	122303	2	6.05	13.27	17.949827	19.44327
"E.grandis"	1	"Bofete"	6	32	606	10	5.2	92	122404	3	8.59	17.2	45.141981	46.14908
"E.grandis"	1	"Bofete"	6	32	606	10	5.2	92	122504	2	9.87	19.76	75.952793	77.00789
"E.grandis"	1	"Bofete"	6	32	606	10	5.2	92	122603	2	12.41	22.95	128.501813	129.6886
"E.grandis"	1	"Bofete"	6	32	606	10	5.2	92	122703	2	13.37	23.59	153.936289	154.8434
"E.grandis"	1	"Bofete"	6	32	606	10	5.2	92	122804	3	16.55	26.21	270.587135	271.1675
"E.grandis"	1	"Bofete"	6	32	606	10	5.2	92	123104	2	18.14	27.02	318.540169	318.8589
"E.grandis"	1	"Bofete"	6	32	606	10	5.2	92	123104	3	17.19	26.62	293.651	294.2628
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	105103	3	14.01	23.35	156.413992	157.5485
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	105203	3	12.73	22.87	134.708669	135.1691
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	105303	3	11.14	21.12	90.796823	91.98364
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	122303	3	7.32	16.07	33.437577	35.2869
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	122404	4	7.96	17.41	43.145102	44.57923
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	122504	3	10.82	21.17	90.468361	91.69112
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	122504	4	10.5	19.17	67.501006	68.91955
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	122603	3	12.41	22.96	134.211151	134.6716
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	122703	3	14.01	23.27	157.237843	158.4606
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	122804	4	16.55	24.53	245.046941	245.2462
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	122902	2	19.74	26.09	370.691491	370.6915
"E.grandis"	1	"Bofete"	6	32	606	26	5.2	92	123104	4	18.46	26.47	307.244066	307.5814
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	71801	1	4.46	10.96	6.991351	9.429805
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	71902	1	6.68	13.14	21.644435	23.37363
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72005	1	8.59	16.19	44.732034	45.95479
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72005	2	8.59	15.47	42.272976	43.687
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72005	3	7.64	14.99	30.365806	32.73742
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72108	1	10.82	16.83	71.725356	72.63242
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72108	2	9.87	16.14	60.044326	61.31107
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72108	3	10.82	17.33	71.861595	72.24765
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72108	4	11.14	17.97	81.746868	82.49409
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72108	5	10.5	16.29	66.322457	66.81885
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72210	1	12.41	18.48	106.810608	107.4103
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72210	2	11.78	17.18	86.043345	86.36204
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72210	3	11.46	17.19	75.279012	76.46583
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72210	4	13.05	18.56	101.874451	102.4983
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72210	5	12.73	17.9	97.479563	97.77036
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72210	6	11.78	17.19	88.722295	89.14279
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72407	1	13.37	18.34	107.393275	107.8512
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72407	2	14.64	18.94	128.461326	128.7521
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72407	3	13.69	17.98	113.817789	114.2023
"E.grandis"	1	"Bofete"	6	89	601	1	3	92	72502	1	15.28	18.67	150.824576	151.6276
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	71902	2	7.32	13.24	27.834307	29.25285
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72005	4	8.91	15.76	49.088752	49.99582
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72005	5	7.96	13.57	28.865342	29.9878
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72108	6	11.14	17.4	79.704256	80.31601
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72108	7	11.14	17.3	71.380995	71.90478
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72108	8	10.5	15.51	64.937773	65.40225
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72210	7	11.46	16.09	72.182325	72.44095
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72210	8	12.73	18.68	106.319616	107.0387
